site,average time,# of Q
gamedev,91.37,5
parenting,72.97,5
ux,72.43,7
skeptics,64.99,20
money,60.77,28
security,60.46,31
chess,57.64,6
interpersonal,54.46,50
politics,42.81,33
workplace,40.68,62
law,39.40,10
softwareengineering,36.72,13
pets,36.06,3
codegolf,34.62,61
worldbuilding,31.48,183
crafts,31.00,1
academia,30.81,102
writing,29.42,34
serverfault,29.02,15
superuser,27.91,31
movies,27.76,12
retrocomputing,27.38,27
aviation,27.34,39
history,24.43,31
christianity,24.27,5
devops,24.17,1
scifi,22.29,111
travel,21.88,83
space,21.08,40
ell,20.88,83
mechanics,20.14,11
photo,20.13,22
german,20.06,14
outdoors,19.98,19
ukrainian,19.67,1
cooking,19.43,12
english,19.00,89
physics,18.66,71
sqa,17.25,2
rpg,17.13,222
diy,16.17,27
hsm,16.00,1
mathoverflow,15.17,86
bicycles,15.15,26
french,14.79,4
music,14.78,36
graphicdesign,14.30,14
vi,13.92,2
electronics,13.82,112
unix,13.47,124
puzzling,12.81,228
boardgames,12.60,21
astronomy,12.10,8
cs,11.83,17
crypto,11.69,26
codereview,11.48,61
pm,11.08,6
anime,11.06,3
philosophy,10.79,15
ham,10.77,5
matheducators,10.67,1
biology,10.26,12
askubuntu,10.01,75
math,9.63,300
chemistry,9.46,13
tex,9.42,242
scicomp,9.17,1
stackoverflow,8.95,163
stats,8.94,47
dba,8.71,42
mathematica,8.68,97
cseducators,8.50,2
arduino,8.35,9
russian,8.33,1
judaism,7.97,24
japanese,7.59,22
latin,7.51,12
quantumcomputing,7.47,5
gaming,7.32,16
bricks,7.22,3
apple,6.73,40
linguistics,6.70,10
expatriates,6.67,1
engineering,6.37,4
blender,6.23,27
literature,6.10,7
gardening,5.89,21
computergraphics,5.67,1
ai,5.65,10
datascience,5.62,10
3dprinting,5.36,11
salesforce,5.33,65
martialarts,5.33,1
wordpress,5.13,21
sharepoint,5.03,5
korean,4.93,5
hinduism,4.90,16
cstheory,4.71,4
sitecore,4.60,13
buddhism,4.51,18
networkengineering,4.42,11
economics,4.33,1
drupal,4.30,15
bitcoin,4.23,8
magento,4.19,30
ethereum,3.76,21
stellar,3.73,5
islam,3.56,3
emacs,3.56,6
raspberrypi,3.43,10
craftcms,3.26,7
quant,3.08,2
homebrew,3.00,2
dsp,3.00,6
gis,2.95,40
eosio,2.87,5
earthscience,2.83,4
webapps,2.67,3
tridion,2.63,5
webmasters,2.56,3
chinese,2.44,12
hermeneutics,2.33,1
android,2.17,1
civicrm,1.67,1
fitness,1.50,1
genealogy,1.33,2
spanish,0.83,1
iot,0.67,1
monero,0.33,1
robotics,0.17,1
